,NumberOfTime30-59DaysPastDueNotWorse,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,bins_age,bins_MonthlyIncome,bins_RevolvingUtilizationOfUnsecuredLines,bins_DebtRatio
127081,98,0,98,0,98,0.0,7,5,3,0
143805,0,7,0,0,0,1.0,1,2,1,1
62074,0,0,0,0,0,1.0,3,2,3,0
20921,2,5,0,2,0,3.0,6,5,0,2
63295,0,10,0,1,0,0.0,8,5,2,3
146349,0,7,0,1,0,0.0,9,4,3,2
101128,1,4,7,0,2,0.0,8,5,3,3
101610,0,11,0,1,0,1.0,4,9,1,1
51720,0,9,0,1,0,0.0,7,5,2,3
59901,0,14,0,0,0,0.0,11,9,0,0
121910,0,11,0,0,0,0.0,7,9,1,0
5355,1,4,6,0,0,0.0,7,5,3,3
77142,0,6,0,0,0,0.0,7,5,0,3
126411,0,5,0,1,0,0.0,8,9,2,0
123524,0,26,0,2,0,1.0,7,9,3,2
9207,0,6,0,0,0,2.0,8,8,2,0
114988,0,3,0,0,0,0.0,2,4,0,0
136103,0,2,5,1,1,1.0,5,6,3,2
94607,0,16,0,4,0,0.0,9,6,1,2
137673,0,15,0,0,0,1.0,4,9,3,1
39492,0,13,0,2,0,0.0,10,9,2,1
47332,0,6,0,2,0,3.0,5,3,0,2
6728,0,13,1,1,1,0.0,7,6,0,2
87067,0,13,0,1,0,0.0,10,5,1,2
118787,0,4,0,0,0,0.0,12,9,0,0
41358,0,4,0,0,0,0.0,9,1,0,0
137880,0,7,0,1,0,0.0,8,9,0,2
103558,0,5,0,0,0,0.0,4,5,3,3
103285,1,0,0,0,0,1.0,2,3,3,0
106710,0,10,0,2,0,0.0,8,5,2,2
987,0,8,0,0,0,0.0,2,5,0,3
106739,0,12,0,4,0,3.0,6,5,0,3
62884,1,2,0,0,0,0.0,4,3,3,0
141173,0,4,0,0,0,0.0,10,2,0,0
9197,2,10,0,0,0,1.0,3,5,1,0
101735,0,15,0,2,0,0.0,8,6,2,1
124170,0,16,0,1,0,0.0,9,2,2,2
23160,0,3,0,0,0,0.0,6,5,2,3
81877,0,3,0,0,0,1.0,9,9,0,0
77643,1,9,0,1,1,0.0,3,4,3,2
78026,0,13,0,1,0,1.0,8,2,0,2
10138,0,4,0,0,0,0.0,4,3,2,0
56746,0,15,0,6,0,1.0,8,9,1,2
82321,0,22,0,4,0,2.0,7,7,1,2
47768,0,10,0,2,0,0.0,8,6,3,1
35974,0,11,0,0,0,1.0,9,9,2,0
69551,0,5,0,1,0,4.0,4,5,2,1
98232,0,5,0,0,0,2.0,4,7,1,0
109004,0,20,0,2,0,1.0,8,6,3,2
38606,0,9,0,0,0,0.0,12,2,0,0
86753,0,9,0,1,0,1.0,6,3,1,2
7365,0,14,0,2,0,1.0,10,6,2,2
75613,0,2,0,0,0,4.0,5,4,0,0
41246,0,7,0,2,0,2.0,4,5,1,1
40225,1,10,1,2,0,2.0,5,8,2,2
7503,0,4,0,0,0,0.0,2,5,0,0
57882,0,10,0,1,0,2.0,4,1,2,3
62190,0,13,0,0,0,1.0,8,5,1,0
4789,0,5,0,2,0,0.0,10,6,2,2
63393,0,7,0,0,0,0.0,3,2,2,0
120133,0,6,0,1,0,2.0,5,4,1,2
80799,0,7,0,1,0,0.0,8,4,0,1
111155,0,3,0,1,0,0.0,9,5,0,3
145752,0,15,0,3,0,0.0,11,5,0,2
10119,0,1,0,0,0,0.0,3,4,3,0
81965,0,16,0,2,0,2.0,6,9,0,1
139024,0,8,0,2,0,1.0,11,9,3,1
9153,0,11,0,2,0,1.0,10,7,0,1
92440,0,6,0,2,0,1.0,5,5,1,3
9718,0,4,0,1,0,3.0,4,3,0,1
146227,0,8,0,2,0,0.0,5,4,1,2
15559,0,11,0,2,0,0.0,8,4,0,1
31032,0,13,0,0,0,0.0,7,9,2,0
47966,0,5,0,0,0,0.0,11,3,1,0
16537,0,3,0,0,0,3.0,6,3,3,0
63841,0,1,1,0,0,2.0,3,2,3,0
47954,0,7,0,1,0,1.0,10,5,2,3
85058,0,5,0,0,0,0.0,9,5,0,3
116099,0,14,0,2,0,2.0,5,9,0,1
137984,0,8,0,0,0,0.0,9,5,0,3
102641,0,6,0,1,0,0.0,9,5,1,3
47872,0,24,0,3,0,1.0,6,7,3,2
104006,1,9,0,0,0,0.0,5,4,3,0
109305,0,11,0,1,1,2.0,3,9,3,1
77280,0,4,0,0,0,0.0,2,6,2,0
86009,0,5,0,2,0,0.0,10,0,1,3
114,0,10,0,2,0,1.0,10,9,0,0
80148,0,4,0,2,0,0.0,10,5,0,2
60716,0,6,0,1,0,0.0,6,5,1,3
112668,3,9,0,1,0,1.0,8,7,1,0
30590,1,20,0,1,1,2.0,4,4,0,2
86084,1,6,0,0,0,0.0,3,2,1,0
62212,1,14,0,2,0,2.0,7,7,1,2
119722,0,4,0,0,0,0.0,12,1,0,0
40845,0,9,0,2,0,5.0,5,6,3,2
130501,0,2,0,0,0,3.0,5,3,1,0
145313,0,8,0,2,0,3.0,5,7,1,1
15867,0,6,0,1,0,1.0,12,5,0,3
139904,0,5,0,1,0,0.0,7,5,0,0
84349,1,4,0,0,0,1.0,3,3,1,0
133161,0,4,0,1,0,1.0,8,3,1,2
96521,0,9,0,2,0,1.0,6,3,2,2
82725,0,1,0,0,0,0.0,1,5,0,0
75347,0,1,0,0,0,0.0,9,5,0,0
63446,0,1,1,0,0,1.0,4,1,3,0
145591,0,2,0,0,0,0.0,7,5,1,3
139276,1,23,0,0,0,0.0,3,3,2,1
60296,0,8,0,1,0,0.0,5,5,0,3
139561,0,16,1,0,0,0.0,10,3,0,0
111868,0,12,0,2,0,2.0,7,9,3,2
100788,0,8,0,0,0,0.0,12,2,3,3
148743,1,14,0,2,0,3.0,7,5,2,2
113776,0,8,0,1,0,3.0,2,3,2,1
84843,1,17,0,2,1,2.0,7,9,1,1
4469,0,0,0,0,0,0.0,7,2,3,0
25120,0,8,0,2,0,3.0,5,8,3,2
4948,0,3,0,1,0,0.0,6,5,1,3
16509,0,8,0,0,0,0.0,4,5,1,3
146448,2,14,0,1,0,3.0,7,5,2,3
49564,0,5,0,0,0,0.0,11,5,0,3
79865,0,19,0,1,0,3.0,7,9,1,1
89034,0,2,0,1,0,0.0,7,5,1,3
121826,0,10,0,2,0,1.0,6,9,1,1
125737,0,7,0,1,0,3.0,6,5,0,0
21563,0,4,0,1,0,0.0,6,2,3,2
14863,0,6,1,0,1,0.0,6,5,3,3
107132,0,7,0,0,0,0.0,9,4,0,0
79632,0,8,0,2,0,0.0,10,5,1,3
122079,0,9,0,1,0,1.0,6,7,1,1
64750,0,2,0,1,0,0.0,9,5,1,3
65100,0,5,0,0,0,0.0,10,7,0,0
81925,0,4,0,0,0,0.0,6,1,3,1
19166,0,15,0,1,0,0.0,7,6,2,1
38689,0,5,0,0,0,0.0,12,5,0,0
49388,0,0,0,0,0,0.0,6,5,3,3
64230,0,9,0,1,0,0.0,4,4,0,2
9013,0,6,0,0,0,0.0,7,5,3,0
108920,0,12,0,1,0,1.0,9,3,2,0
109916,0,10,0,1,0,1.0,3,4,3,2
62964,0,10,0,3,0,1.0,4,9,0,1
144797,0,2,0,1,0,0.0,8,5,2,3
118143,0,7,0,1,0,2.0,8,4,2,2
120007,5,7,0,1,0,3.0,6,4,1,1
32955,0,14,0,2,0,1.0,6,7,2,1
13499,0,11,0,0,0,0.0,10,2,0,1
14719,0,2,0,0,0,0.0,2,1,2,1
37212,0,11,0,1,0,0.0,7,2,2,2
72040,0,20,0,0,0,2.0,9,6,2,2
53649,0,6,0,2,0,2.0,4,5,3,3
34019,2,2,0,1,0,0.0,8,5,3,1
29534,0,16,0,3,0,1.0,3,9,2,2
118221,0,7,0,1,0,1.0,10,8,1,0
97129,0,9,0,0,0,0.0,2,3,1,0
45881,2,9,0,2,0,0.0,5,9,3,2
53675,5,14,0,0,2,0.0,3,3,1,1
66904,1,24,0,5,0,0.0,8,9,3,3
108799,0,9,0,1,0,0.0,6,6,1,1
137065,0,7,0,0,0,0.0,10,2,0,0
15011,0,8,0,1,0,2.0,7,2,1,2
108810,0,15,0,2,0,1.0,3,0,0,3
124552,0,9,0,2,0,1.0,9,9,1,1
45117,0,6,0,0,0,1.0,8,9,1,0
67843,3,16,0,1,1,2.0,7,6,2,0
122970,0,7,0,0,0,3.0,4,6,2,1
102875,0,4,0,0,0,0.0,7,5,1,3
42743,0,7,0,0,0,0.0,10,5,0,3
54668,0,4,0,0,1,1.0,7,6,1,0
124599,0,10,0,2,0,0.0,9,4,1,2
144103,0,8,0,0,0,2.0,5,3,1,1
912,0,1,0,0,0,0.0,4,4,2,0
61755,1,10,0,2,0,0.0,6,4,0,2
114541,0,4,0,1,0,0.0,8,5,3,3
89680,0,5,0,2,0,0.0,6,3,1,2
138323,0,13,0,1,0,2.0,6,5,3,2
38433,0,7,0,0,0,0.0,10,5,0,3
2846,0,2,0,0,0,0.0,1,0,3,2
1021,0,18,0,2,0,0.0,3,9,2,2
84307,0,7,0,1,0,0.0,6,5,1,3
101418,0,5,0,1,0,2.0,7,9,3,1
32228,3,18,0,2,0,3.0,6,5,1,3
87506,0,7,0,1,0,0.0,5,4,1,1
95679,0,3,0,0,0,0.0,12,5,1,3
71370,0,14,0,0,0,0.0,12,5,2,3
108797,1,22,0,5,0,0.0,11,9,1,3
71458,0,8,0,1,0,0.0,6,5,2,3
8063,0,11,0,1,0,0.0,6,2,0,2
32169,0,18,0,3,0,3.0,5,9,2,2
32973,0,2,0,0,0,0.0,2,1,2,0
78807,0,3,0,0,0,0.0,8,4,3,0
51661,0,7,0,0,0,0.0,9,0,0,3
57011,1,9,0,0,1,0.0,2,2,3,1
141243,0,9,2,0,0,1.0,2,2,1,1
39751,1,14,0,2,0,2.0,6,5,1,2
147597,1,2,0,0,0,0.0,12,5,0,3
76758,1,3,0,0,0,1.0,5,1,3,2
7973,0,6,0,0,0,0.0,8,5,2,0
117492,0,12,0,2,0,1.0,5,7,1,1
44630,2,12,0,2,0,3.0,4,5,3,2
120400,0,5,0,0,0,0.0,5,4,2,0
29029,0,4,0,0,0,0.0,10,2,0,0
108400,0,4,0,2,0,0.0,8,5,1,3
133511,0,6,0,0,0,3.0,8,5,0,0
47645,0,21,0,2,0,1.0,6,7,3,2
33331,0,3,0,1,0,0.0,8,5,0,3
144126,0,9,0,0,0,0.0,10,5,1,3
89958,0,7,0,1,0,0.0,12,3,0,1
78946,0,5,0,1,0,2.0,6,1,2,3
122546,0,15,4,1,0,2.0,5,7,0,2
70501,1,13,0,0,0,1.0,8,9,1,0
68470,0,8,0,1,0,0.0,6,5,3,3
80657,2,4,0,1,1,0.0,10,3,3,1
72230,0,5,0,2,0,0.0,5,5,2,3
767,0,1,0,0,0,0.0,1,2,2,0
37720,0,4,0,0,0,0.0,11,9,0,0
139841,0,5,0,0,0,0.0,12,3,0,0
91433,0,7,0,1,0,0.0,5,2,3,2
102795,1,6,0,0,0,0.0,7,1,1,1
45130,0,16,0,1,0,2.0,9,5,2,3
131809,0,11,0,1,0,0.0,9,5,2,3
33226,0,8,0,0,0,0.0,3,5,3,3
119053,0,8,0,1,0,2.0,7,2,1,2
22012,0,6,0,0,0,0.0,7,5,3,3
101946,0,2,0,0,0,0.0,1,5,0,3
13255,0,10,0,0,0,1.0,12,5,0,0
26714,0,7,0,1,0,1.0,6,6,0,1
143612,0,14,1,3,0,0.0,7,9,1,2
141999,2,3,2,1,2,0.0,7,5,2,3
130008,0,9,0,1,0,0.0,9,3,1,1
26524,0,13,0,2,0,0.0,6,5,3,2
142229,0,17,0,0,0,1.0,7,5,2,3
119390,0,7,0,2,0,1.0,8,9,0,2
120351,0,10,0,2,0,0.0,8,5,0,3
4210,0,9,0,1,0,1.0,9,7,0,2
31235,0,7,0,0,0,1.0,5,9,0,0
119269,1,16,0,2,0,0.0,8,6,1,2
120159,0,3,0,1,0,2.0,5,2,1,3
36526,0,8,0,1,0,0.0,1,3,3,2
1486,3,10,0,1,1,1.0,7,3,3,2
104545,1,12,0,1,0,3.0,6,3,2,2
3931,0,4,0,0,1,0.0,4,5,1,0
97354,0,11,0,1,0,1.0,6,2,2,2
142829,0,3,0,1,0,1.0,9,5,2,3
23277,0,21,0,5,0,2.0,8,9,2,2
64249,0,8,0,1,0,0.0,9,4,0,0
53400,0,1,0,0,0,0.0,10,5,1,3
78864,0,6,0,1,0,1.0,7,4,3,1
71007,1,11,0,3,0,2.0,6,5,2,2
115622,3,13,0,2,0,1.0,5,5,3,3
11072,0,4,0,0,0,3.0,7,9,1,0
42451,0,8,0,3,0,0.0,7,5,2,3
132986,0,7,0,1,0,1.0,4,9,3,1
128607,0,5,0,0,0,0.0,3,9,0,0
16863,2,8,0,1,0,4.0,6,4,2,1
125126,0,4,0,1,0,0.0,3,5,0,3
95088,0,23,0,2,0,0.0,6,9,2,2
117134,1,12,0,0,0,2.0,5,5,0,3
48547,0,17,0,2,0,3.0,6,0,3,3
106981,1,7,0,0,0,2.0,6,5,3,3
97804,0,5,0,0,0,0.0,10,2,1,0
15982,0,9,0,2,0,2.0,9,9,2,1
58125,0,8,0,1,0,0.0,7,5,0,3
100513,0,6,0,3,0,3.0,6,9,1,1
146399,0,6,0,2,0,3.0,4,9,3,2
94365,0,5,0,0,0,0.0,3,5,0,3
47630,0,8,0,2,0,2.0,7,9,3,1
72125,1,3,1,2,0,1.0,3,1,3,2
45745,0,5,0,2,0,1.0,7,4,2,2
125988,0,4,0,0,0,0.0,8,5,0,0
49187,0,2,0,0,0,0.0,5,2,0,0
9852,2,1,0,0,0,1.0,7,3,3,0
63788,0,16,0,1,0,3.0,6,5,0,3
35025,0,10,0,1,0,0.0,6,5,3,2
115985,0,18,0,4,0,2.0,9,9,0,1
44881,0,8,0,1,0,0.0,12,5,1,3
15823,0,10,0,3,0,1.0,6,9,1,2
121432,0,6,0,1,0,1.0,7,6,2,2
134302,0,6,0,0,0,2.0,4,6,2,0
144183,0,7,0,1,0,3.0,5,6,1,1
45536,0,0,0,0,0,0.0,1,5,3,3
8211,0,16,0,0,0,0.0,9,6,1,1
81351,0,1,0,0,0,0.0,1,1,3,0
103666,0,8,0,1,0,1.0,7,7,1,1
57386,0,3,0,0,0,1.0,1,1,2,0
104523,0,11,0,0,0,2.0,6,5,3,2
98477,0,4,0,0,0,0.0,11,2,0,1
97665,0,8,1,1,0,3.0,6,5,3,1
29212,0,11,0,0,0,0.0,12,5,0,3
147088,4,7,2,0,2,0.0,6,5,3,3
49748,0,6,0,0,0,0.0,8,9,1,0
7841,0,13,0,0,0,3.0,4,0,2,3
133986,0,4,0,1,0,2.0,7,7,0,1
16600,1,11,0,1,0,0.0,6,5,3,3
99883,0,48,0,0,0,0.0,4,5,2,1
23750,0,11,0,2,0,0.0,6,9,2,2
24881,0,7,0,0,0,0.0,12,0,0,0
10656,0,13,0,2,0,1.0,7,5,0,3
135485,0,2,0,0,0,0.0,1,2,0,0
101680,0,8,0,0,0,0.0,6,2,3,2
98678,0,9,0,1,0,0.0,4,9,2,0
7937,0,3,0,0,0,0.0,6,8,0,0
58724,0,2,0,0,0,0.0,3,5,1,3
129108,0,10,0,2,0,1.0,5,4,1,2
82576,0,9,0,0,0,0.0,9,9,0,0
51740,3,10,0,0,0,0.0,2,4,3,1
27426,0,5,0,2,0,1.0,5,2,0,2
62619,1,8,0,0,0,0.0,6,2,0,0
83025,0,3,0,0,0,2.0,4,2,3,1
19946,0,3,0,1,0,0.0,5,5,1,3
144790,0,10,0,2,0,0.0,2,6,2,2
132818,0,6,0,1,0,0.0,2,5,2,3
103347,0,9,0,0,0,0.0,11,9,1,0
62324,0,1,0,0,0,0.0,1,5,0,0
63891,0,8,0,2,0,2.0,3,7,0,2
84610,0,12,0,2,0,2.0,6,9,2,1
140287,0,8,0,0,0,0.0,12,1,0,0
66098,0,5,0,1,0,3.0,6,9,3,0
49368,0,5,0,1,0,1.0,6,5,1,1
60338,0,3,0,1,0,0.0,9,1,3,2
96270,0,7,0,0,0,1.0,10,6,0,0
14412,0,3,0,1,0,1.0,6,5,2,1
73442,0,9,0,2,0,0.0,7,3,3,3
58799,0,4,0,0,0,1.0,5,5,2,0
2791,0,20,0,5,0,0.0,8,9,2,2
23038,2,4,0,0,0,1.0,4,5,0,3
4887,0,16,0,4,0,2.0,6,9,1,1
85305,3,5,1,0,1,0.0,5,5,3,3
43682,0,5,0,0,0,0.0,2,8,3,0
60839,1,4,0,0,0,0.0,6,2,0,0
9108,0,9,0,0,0,0.0,2,5,0,3
18750,0,4,0,0,0,0.0,12,5,0,0
98148,0,14,0,2,0,2.0,6,5,2,2
129236,0,4,0,1,0,1.0,8,9,3,1
93195,0,13,0,4,0,0.0,5,9,3,2
25934,0,8,0,1,0,1.0,5,5,2,1
30523,0,7,0,1,0,0.0,6,5,0,3
132472,0,12,0,3,0,0.0,7,5,0,3
58911,1,7,0,0,0,2.0,3,3,2,0
133823,0,6,0,0,0,3.0,4,4,1,0
100010,0,9,0,3,0,0.0,6,5,2,3
73036,0,3,0,0,0,0.0,8,5,0,0
12786,0,12,0,2,0,2.0,3,6,1,1
7762,0,16,0,1,0,0.0,11,9,1,1
86574,0,3,0,0,0,0.0,6,2,2,1
32818,0,8,0,0,0,3.0,7,5,1,0
13526,1,15,0,3,0,0.0,9,7,3,2
40437,1,4,1,0,2,3.0,5,5,3,0
69604,1,10,1,1,0,2.0,5,7,3,1
53936,0,16,0,0,0,0.0,11,1,3,2
55894,1,8,0,1,0,0.0,8,5,2,3
135525,0,3,0,0,0,1.0,12,6,0,0
142731,0,12,0,2,0,0.0,3,3,1,2
14701,1,5,0,1,0,0.0,5,3,3,2
130539,0,7,0,2,0,2.0,3,5,1,1
88385,0,10,0,0,0,2.0,7,3,2,1
134720,0,11,0,3,0,3.0,5,7,1,2
67611,0,16,0,4,0,0.0,7,9,0,2
64207,0,14,0,1,0,2.0,7,6,2,2
111226,0,11,0,0,0,3.0,5,9,0,0
10120,0,11,0,2,0,3.0,7,9,2,1
131525,0,9,0,0,0,0.0,3,2,2,1
126879,0,3,0,0,2,0.0,3,4,3,0
88018,0,6,0,1,0,2.0,4,9,1,0
136823,0,2,0,0,0,0.0,10,7,2,0
70562,0,7,0,2,0,2.0,8,9,0,0
84791,0,19,0,1,0,0.0,5,9,2,2
44797,0,11,0,3,0,0.0,9,7,1,2
136206,0,15,0,2,0,0.0,9,1,2,3
113077,0,10,0,2,0,0.0,6,6,2,2
102859,0,8,0,1,0,0.0,6,6,3,1
121880,0,11,0,2,0,3.0,7,5,2,1
82431,0,11,0,0,0,0.0,11,7,3,1
76113,0,4,0,0,0,0.0,8,5,1,3
80551,0,2,0,0,0,2.0,3,2,3,1
92925,0,9,0,0,0,3.0,5,4,3,1
13229,0,8,0,0,0,2.0,6,5,2,1
84256,0,10,0,0,0,1.0,6,4,0,1
33011,0,7,0,0,0,0.0,10,6,0,0
131992,0,5,0,1,0,0.0,6,1,1,3
9597,0,10,0,1,0,0.0,8,6,2,1
127071,0,8,0,0,0,1.0,4,1,3,2
16458,0,6,0,0,0,0.0,10,4,0,0
106905,1,26,0,3,0,0.0,9,3,2,2
75829,0,5,0,2,0,0.0,10,6,1,2
8692,0,3,0,0,0,0.0,3,0,1,3
35838,1,14,0,1,0,2.0,5,6,1,2
55246,0,4,0,1,0,2.0,7,9,0,0
16160,0,6,0,2,0,1.0,9,6,0,1
69713,0,1,0,0,0,0.0,7,5,0,3
73529,0,8,0,2,0,0.0,2,5,0,1
115852,0,3,0,1,0,3.0,9,8,1,0
69380,1,16,0,2,0,1.0,10,5,2,3
50355,0,5,0,0,0,0.0,8,4,0,0
40498,0,12,0,2,0,2.0,6,9,2,2
36710,0,6,0,2,0,0.0,10,7,0,1
137585,0,5,0,0,0,0.0,12,4,2,0
141708,0,6,0,0,0,0.0,9,5,0,3
1218,0,5,0,2,0,3.0,6,5,1,3
35913,0,11,0,2,0,0.0,9,7,0,2
85589,0,5,0,4,0,0.0,5,5,0,3
83271,0,4,0,0,0,0.0,4,5,1,3
37094,0,12,0,0,0,0.0,9,3,2,1
141215,1,19,0,1,0,1.0,9,5,1,3
22333,0,12,0,1,0,1.0,8,9,0,0
1683,6,8,2,2,1,1.0,9,3,3,2
41108,0,3,0,2,0,0.0,2,2,3,3
99626,0,4,0,0,0,0.0,11,1,0,1
5927,0,10,0,3,0,2.0,6,5,2,3
31873,0,2,0,0,0,0.0,5,5,3,3
42489,2,2,0,0,1,0.0,3,3,3,0
45678,0,17,0,2,0,0.0,10,1,2,3
41816,0,8,0,0,0,1.0,2,4,2,1
136781,4,7,2,0,1,0.0,3,8,3,1
128077,0,11,0,1,0,1.0,4,4,3,2
63854,1,14,0,0,0,0.0,10,3,1,1
95666,0,4,1,0,0,4.0,2,5,3,0
86865,0,3,0,0,0,0.0,8,5,0,3
10737,0,7,0,1,0,0.0,2,4,2,3
67787,0,6,0,2,0,0.0,8,5,0,3
128480,0,22,0,4,0,0.0,12,6,0,1
93162,0,13,0,1,0,0.0,8,5,0,3
17663,1,17,0,1,0,2.0,7,3,2,2
72773,0,10,0,2,0,4.0,7,3,0,2
34744,0,9,0,2,0,4.0,5,9,1,0
125409,0,14,0,2,0,0.0,9,5,2,2
125994,0,7,0,2,0,1.0,6,4,3,3
39795,0,2,0,0,0,0.0,1,0,3,2
1804,0,0,0,0,0,0.0,12,5,3,3
355,2,5,1,2,2,0.0,6,5,3,3
137283,0,9,0,1,0,0.0,10,5,1,3
120708,0,9,0,2,0,1.0,7,5,3,3
60926,0,4,0,0,0,0.0,3,1,3,1
16108,0,9,0,0,0,0.0,2,6,2,0
34572,0,12,0,2,0,2.0,5,4,0,2
4470,0,13,0,1,0,1.0,8,7,1,0
21992,0,18,0,2,0,3.0,7,2,0,2
72770,0,5,0,0,0,0.0,7,4,0,0
113182,0,0,5,0,1,0.0,2,5,3,3
114699,0,16,0,1,0,0.0,3,2,0,3
29154,0,8,0,2,0,0.0,4,5,2,3
25790,2,6,1,0,0,0.0,4,3,3,2
38116,0,8,0,2,0,0.0,4,4,2,3
35503,0,12,0,1,0,2.0,4,6,2,2
140747,0,10,0,3,0,0.0,5,7,1,2
99398,0,5,0,3,0,2.0,5,4,3,2
110325,0,9,0,1,1,1.0,3,5,0,1
3548,1,6,0,0,0,0.0,8,4,3,1
133646,1,6,0,0,0,2.0,6,3,0,2
18569,1,11,0,1,0,3.0,8,8,3,1
116705,0,14,0,0,0,0.0,11,5,1,3
31139,0,13,0,1,0,0.0,5,5,2,3
99312,0,14,0,0,0,0.0,10,9,1,0
122796,0,4,0,0,0,0.0,8,3,0,0
48928,1,15,0,2,0,0.0,3,4,2,2
109793,1,11,0,2,0,0.0,8,6,1,0
41902,0,4,0,1,0,0.0,8,7,2,1
32183,0,6,0,2,0,1.0,9,5,1,3
127079,1,19,0,1,0,0.0,10,4,1,1
121525,0,26,0,1,0,3.0,6,5,0,2
108130,0,20,0,2,0,0.0,9,9,2,2
130493,0,10,0,0,0,0.0,8,6,1,0
133802,0,8,0,1,0,0.0,3,5,0,3
115602,0,9,0,4,0,2.0,7,7,0,3
31742,2,8,0,3,1,0.0,8,2,3,3
32988,0,4,0,0,0,0.0,12,6,0,0
147978,0,10,0,0,0,0.0,10,1,1,0
62136,0,13,0,0,0,0.0,10,4,0,0
9160,0,11,0,2,0,1.0,8,9,0,2
30882,0,7,0,1,0,3.0,6,7,1,1
125160,0,11,0,0,0,0.0,11,9,0,0
149941,0,6,0,0,0,0.0,6,5,3,3
19821,0,4,0,0,0,0.0,7,5,3,3
69127,0,2,0,0,0,0.0,11,5,0,0
115383,0,19,0,2,0,1.0,9,5,0,3
120612,0,10,0,2,0,0.0,8,9,0,0
123387,0,15,0,2,0,0.0,3,3,2,3
43452,0,0,0,0,0,0.0,2,2,3,0
49021,0,3,0,0,1,0.0,8,4,3,0
20886,0,12,0,3,0,0.0,9,9,2,1
85217,3,12,0,2,0,2.0,5,8,2,2
40274,0,4,0,0,0,0.0,9,5,0,3
47628,1,14,0,1,0,3.0,6,7,2,2
132017,0,16,0,0,0,1.0,10,5,0,3
25408,0,6,0,0,0,0.0,12,3,0,0
77158,0,6,0,2,0,0.0,11,0,0,3
76603,0,4,0,0,0,0.0,10,5,1,3
20628,0,8,0,1,0,2.0,7,4,2,2
146612,0,6,0,0,0,1.0,9,7,0,0
114358,0,11,0,2,0,3.0,4,4,3,2
86483,0,16,0,2,0,0.0,12,5,2,1
52162,0,9,0,2,0,0.0,10,5,0,3
98830,1,27,0,3,0,4.0,7,9,2,2
6143,0,1,0,0,0,0.0,12,5,1,3
146221,0,12,0,2,0,0.0,9,5,1,3
80984,1,10,0,0,0,0.0,8,9,1,0
34758,0,7,0,1,0,0.0,6,2,1,2
94778,0,5,0,0,0,0.0,5,8,0,0
60000,0,13,0,1,0,0.0,10,4,2,2
14784,0,5,0,1,0,0.0,9,4,2,1
72287,0,8,0,0,0,0.0,8,9,0,0
22563,0,7,0,2,0,3.0,5,6,0,2
96680,0,8,0,0,0,2.0,6,3,2,2
88464,0,6,0,2,0,3.0,5,9,2,0
49326,0,9,0,2,0,0.0,4,1,1,3
1709,0,10,0,2,0,1.0,5,9,1,1
49777,0,12,0,2,0,1.0,6,0,3,3
14677,0,9,0,2,0,0.0,9,5,1,1
116781,0,4,0,0,0,0.0,8,6,3,0
143654,0,13,0,4,0,2.0,3,9,1,2
70699,2,7,0,0,0,0.0,2,5,3,0
102646,0,1,0,1,0,0.0,10,5,3,3
138677,0,10,0,1,1,0.0,9,4,1,1
16589,0,10,0,1,0,2.0,9,9,1,0
39622,0,13,0,2,0,0.0,8,9,1,1
102516,0,7,0,0,0,0.0,12,4,0,0
79652,0,20,0,2,0,2.0,5,4,2,2
116942,0,5,0,1,1,2.0,8,2,3,2
73607,0,7,0,0,0,2.0,6,6,1,0
85974,0,11,0,2,0,0.0,9,8,2,2
143842,0,8,0,1,0,0.0,7,5,1,3
36946,0,4,0,2,0,2.0,6,6,0,2
134198,3,18,0,2,0,2.0,8,5,1,3
95227,0,2,0,0,0,2.0,5,4,1,0
118214,0,3,0,0,0,0.0,1,4,3,0
146700,0,6,0,1,0,2.0,3,4,2,2
62872,0,23,0,4,0,0.0,9,5,1,3
66586,0,9,0,1,0,3.0,6,5,0,3
28923,0,8,0,2,0,4.0,5,7,3,2
32461,0,9,0,0,0,1.0,4,5,1,3
27392,0,8,0,2,0,0.0,6,5,0,3
40491,0,7,0,0,0,0.0,12,5,0,3
96797,1,6,0,0,0,0.0,9,1,2,2
105603,2,5,0,0,1,0.0,4,0,3,2
138972,0,2,0,0,0,3.0,7,3,2,0
40980,0,14,0,0,0,0.0,6,1,3,2
81036,1,15,0,1,0,1.0,7,7,0,2
7874,0,8,0,2,0,0.0,5,5,3,3
100020,0,4,0,0,0,0.0,11,3,0,1
118761,0,5,0,0,0,1.0,8,6,1,0
73180,0,4,0,1,0,0.0,11,8,1,0
41725,0,21,0,3,0,0.0,6,9,1,1
110121,0,7,0,0,0,0.0,12,2,0,0
27781,0,5,0,0,0,0.0,12,5,0,3
80495,1,5,0,0,0,0.0,5,5,3,3
71954,0,6,0,1,0,2.0,4,8,0,1
37271,1,9,0,1,0,0.0,9,8,0,1
60909,0,3,0,0,0,0.0,9,5,1,3
117037,0,11,0,1,0,1.0,5,0,2,3
132339,0,11,0,1,0,0.0,10,5,0,3
11139,0,10,1,0,1,0.0,7,3,3,1
44937,0,4,0,2,0,0.0,4,5,2,1
38778,0,13,0,1,0,2.0,4,9,1,1
65222,0,3,0,0,0,0.0,12,5,0,0
45451,0,11,0,1,0,1.0,9,6,0,0
